id,production_schedule_id,sequence,location_code,event_type,event_time,advertised_event_time
173814975,7507848,0,STRBDGT,D,2020-12-22 21:30:00,2020-12-22 21:30:00
173815006,7507850,1,STRBDGT,A,2020-12-22 21:38:00,2020-12-22 21:38:00
173815005,7507850,0,STRBDG1,D,2020-12-22 21:35:00,2020-12-22 21:35:00
173815008,7507851,1,STRBDG1,A,2020-12-22 21:43:00,2020-12-22 21:43:00
173815007,7507851,0,STRBDGT,D,2020-12-22 21:40:00,2020-12-22 21:40:00
173815018,7507856,1,STRBDGT,A,2020-12-22 21:48:00,2020-12-22 21:48:00
173815017,7507856,0,STRBDG1,D,2020-12-22 21:45:00,2020-12-22 21:45:00
173808596,7507574,26,EUSTON,A,2020-12-22 06:20:00,2020-12-22 06:25:00
173808591,7507574,21,HROW,D,2020-12-22 06:08:00,2020-12-22 06:08:00
173808590,7507574,20,HROW,A,2020-12-22 06:07:00,2020-12-22 06:07:00
173808588,7507574,18,WATFDJ,D,2020-12-22 06:01:30,2020-12-22 06:01:00
173808587,7507574,17,WATFDJ,A,2020-12-22 06:00:30,2020-12-22 06:01:00
173808586,7507574,16,HEMLHMP,D,2020-12-22 05:54:00,2020-12-22 05:54:00
173808585,7507574,15,HEMLHMP,A,2020-12-22 05:53:30,2020-12-22 05:54:00
173808583,7507574,13,BERKHMD,D,2020-12-22 05:50:00,2020-12-22 05:50:00
173808582,7507574,12,BERKHMD,A,2020-12-22 05:49:00,2020-12-22 05:49:00
173808579,7507574,9,LTNBZRD,D,2020-12-22 05:33:30,2020-12-22 05:33:00
173808578,7507574,8,LTNBZRD,A,2020-12-22 05:32:30,2020-12-22 05:33:00
173808577,7507574,7,BLTCHLY,D,2020-12-22 05:26:30,2020-12-22 05:26:00
173808576,7507574,6,BLTCHLY,A,2020-12-22 05:25:00,2020-12-22 05:25:00
173808575,7507574,5,MKNSCEN,D,2020-12-22 05:21:30,2020-12-22 05:21:00
173808574,7507574,4,MKNSCEN,A,2020-12-22 05:20:30,2020-12-22 05:21:00
173808573,7507574,3,WLVR,D,2020-12-22 05:17:30,2020-12-22 05:17:00
