﻿Title:,"Table 1 - HE student enrolments by HE provider"
Subtitle:,"Academic years 2014/15 to 2018/19"
Reference ID:,DT051 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2020
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,First year marker,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2018/19 
Search:,


"UKPRN","HE provider","England","Scotland","Wales","Northern Ireland","Other UK","Total UK  ","Other European Union","Non-European Union","Total Non-UK","Not known","Total"
"10040812","Harper Adams University","4,260","265","380","190","25","5,115","115","145","260","0","5,375"
"10080811","Hartpury University","1,470","15","165","15","5","1,670","65","80","145","0","1,815"
"10007764","Heriot-Watt University","1,695","5,570","55","440","15","7,775","960","2,200","3,160","0","10,935"
"10007147","University of Hertfordshire","19,475","75","100","60","20","19,730","850","3,700","4,550","0","24,280"
"10007148","The University of Huddersfield","13,930","25","105","35","20","14,115","550","2,630","3,180","0","17,295"
"10007149","The University of Hull","13,670","35","75","45","25","13,855","620","1,620","2,240","0","16,090"
"10003270","Imperial College of Science, Technology and Medicine","8,530","210","230","65","0","9,040","3,305","6,770","10,075","0","19,115"
"10007767","Keele University","9,580","40","250","50","25","9,950","240","680","920","0","10,865"
"10007150","The University of Kent","14,845","30","110","45","45","15,075","1,495","2,695","4,190","0","19,265"
"10003645","King's College London","19,910","195","275","110","20","20,510","4,230","8,155","12,385","0","32,895"
"10003678","Kingston University","13,310","30","120","20","20","13,500","785","2,535","3,320","0","16,820"
"10007768","The University of Lancaster","9,180","95","340","75","75","9,770","1,390","3,305","4,695","0","14,465"
"10003854","Leeds Arts University","1,615","15","35","15","5","1,680","45","120","165","0","1,850"
"10003861","Leeds Beckett University","21,270","115","255","195","55","21,890","410","975","1,385","0","23,275"
"10034449","Leeds College of Music","1,035","20","20","10","0","1,090","35","55","90","0","1,180"
"10007795","The University of Leeds","26,155","170","435","190","70","27,020","1,545","7,690","9,235","0","36,250"
"10003863","Leeds Trinity University","3,300","10","25","30","0","3,365","40","10","50","0","3,415"
"10007796","The University of Leicester","12,510","50","230","45","35","12,870","640","3,340","3,985","0","16,855"
"10007151","The University of Lincoln","14,560","50","135","45","10","14,800","220","855","1,075","0","15,875"
"10003956","Liverpool Hope University","3,960","10","155","765","25","4,920","110","70","180","0","5,100"
"10003957","Liverpool John Moores University","18,575","50","1,460","2,075","100","22,255","455","1,320","1,775","0","24,030"
